id,Heart Disease
630000,0.9445743849783034
630001,0.007769181673480119
630002,0.9855909900816395
630003,0.005470643011983162
630004,0.24425696205566003
630005,0.9795271426958168
630006,0.003192844568254083
630007,0.6831153663686509
630008,0.9914232224131478
630009,0.011723144145689535
630010,0.8264640929522918
630011,0.27997092105893256
630012,0.9709935215788595
630013,0.954104926972478
630014,0.9937714361814001
630015,0.14595455183844078
630016,0.004364705077905734
630017,0.9713238247550973
630018,0.017701785263427472
630019,0.5422072020250059
630020,0.6597719365097618
630021,0.09025805851046373
630022,0.8697433808174899
630023,0.11796318617684567
630024,0.5985125581971453
630025,0.6474417206684531
630026,0.004757792117920573
630027,0.16372107437999858
630028,0.42976479068412954
630029,0.1631298605058097
630030,0.002207357944434385
630031,0.9185540150350531
630032,0.036914968839697554
630033,0.10203973163953026
630034,0.00648717380496755
630035,0.05641156190188548
630036,0.8854003456037309
630037,0.994018179497449
630038,0.006154729708449436
630039,0.9878672207611414
630040,0.9611084632710944
630041,0.9951292628719219
630042,0.36132455551442616
630043,0.8896118824288943
630044,0.03328391816119927
630045,0.9984909332576125
630046,0.6735456078712831
630047,0.983108743895008
630048,0.4284507728435322
630049,0.7452001328436333
630050,0.05845910610889388
630051,0.5057868774081701
630052,0.9937769030182235
630053,0.005591213415182539
630054,0.8068575443769457
630055,0.03241710022682806
630056,0.9339409733659936
630057,0.7302478330802039
630058,0.9971513658451372
630059,0.5891169908399514
630060,0.9555594618854505
630061,0.9770906356750192
630062,0.4028281609282704
630063,0.2638688377942219
630064,0.035503655442291476
630065,0.058504112782628764
630066,0.9914130812850723
630067,0.07752960257456898
630068,0.09885561293302747
630069,0.4487584050175417
630070,0.4326683081827256
630071,0.0030592014178425775
630072,0.02673483319370254
630073,0.011634421700304709
630074,0.09921890949170481
630075,0.9447761095420104
630076,0.9923293823425334
630077,0.7586240554929846
630078,0.06370071231613883
630079,0.020415199131988443
630080,0.8304821131060329
630081,0.9768293962049316
630082,0.8162337017213455
630083,0.9915618918521805
630084,0.04265785808698214
630085,0.6555482183528404
630086,0.03529948091270199
630087,0.8052432160839086
630088,0.035555700278208535
630089,0.9977500914026207
630090,0.08453832926585128
630091,0.994888593430482
630092,0.011691416877538885
630093,0.9984888527975732
630094,0.8615885854070171
630095,0.04447006099232734
630096,0.9807044673244367
630097,0.07093633479433578
630098,0.9979442944902962
630099,0.8302687434511984
630100,0.05114609931013395
630101,0.15759816118123732
630102,0.029655957005635614
630103,0.020350964513905334
630104,0.7908803104289561
630105,0.023057779888029845
630106,0.03127321330395644
630107,0.9332633164150483
630108,0.06539428883709678
630109,0.14857621934590948
630110,0.32887193456902164
630111,0.14392193285334898
630112,0.8765616773102439
630113,0.947534667443366
630114,0.9858283419370727
630115,0.9952673666462033
630116,0.01532727153856131
630117,0.03323960944839682
630118,0.9960117761698967
630119,0.17381309173963902
630120,0.8045475812880434
630121,0.7915388067794745
630122,0.03573632013766498
630123,0.421788672130776
630124,0.040877517107584
630125,0.7411712994405245
630126,0.01616535051699422
630127,0.07707066831152914
630128,0.7618653703526569
630129,0.022267847899102522
630130,0.0035614131560373907
630131,0.9719648100662324
630132,0.02867659403102127
630133,0.005441428882322408
630134,0.7670271555288074
630135,0.8938001944032777
630136,0.9877553751603351
630137,0.5364463120004294
630138,0.006381664291680772
630139,0.6365673505342113
630140,0.14668300221071076
630141,0.9870185501089297
630142,0.04143769390365129
630143,0.00048322949620605016
630144,0.012150693580190747
630145,0.06695368119489711
630146,0.042905812054582104
630147,0.055360065247781115
630148,0.809084143141831
630149,0.9944141405953209
630150,0.022631862074330322
630151,0.990707979531527
630152,0.9821391792376172
630153,0.19661397413373186
630154,0.08448144732057628
630155,0.9831310472164041
630156,0.9956693833975583
630157,0.9936282240909802
630158,0.31185368195200114
630159,0.8829349713485047
630160,0.06432491860556805
630161,0.006845936137678588
630162,0.2917575898759188
630163,0.9102348357215595
630164,0.10169843928699052
630165,0.008519820458928129
630166,0.04668172948095492
630167,0.9895661782643276
630168,0.05614143919189532
630169,0.24248491854470572
630170,0.029449917725092034
630171,0.7619984137351623
630172,0.7276487462383481
630173,0.005696744079902671
630174,0.9950950544388769
630175,0.5044471963195445
630176,0.9741735306470379
630177,0.7919534212651198
630178,0.3518777585849906
630179,0.9422216464190717
630180,0.9959192895362776
630181,0.00806930283431237
630182,0.02545720359440154
630183,0.8170637494795348
630184,0.9590354387453955
630185,0.983713247390825
630186,0.07426119041391888
630187,0.9807923226060151
630188,0.9956958786806813
630189,0.025317866048161358
630190,0.9775779097558692
630191,0.9628684243083953
630192,0.9861658579035377
630193,0.9641156994218953
630194,0.1352294539811398
630195,0.1266197970931766
630196,0.7980828502556072
630197,0.02857294433513738
630198,0.06203363101384998
630199,0.1031025026716785
630200,0.938097607673889
630201,0.08583393015843008
630202,0.8733668587710147
630203,0.007046593112579547
630204,0.9408862486472052
630205,0.00976972709209517
630206,0.030561323025817294
630207,0.6694556278269299
630208,0.030863893978016532
630209,0.04153878866606883
630210,0.009175683840717958
630211,0.20343122096076457
630212,0.6330191319112852
630213,0.9986422350998271
630214,0.9935589633709688
630215,0.9735489338155456
630216,0.008786476329290832
630217,0.9960744873891184
630218,0.008644826641071135
630219,0.5965328518343173
630220,0.12803686911335582
630221,0.029633001202948928
630222,0.9740570974004145
630223,0.887615829974121
630224,0.10161708652731274
630225,0.06519740968953738
630226,0.3168219874198529
630227,0.03319308539936358
630228,0.0765913917152369
630229,0.032629209284824684
630230,0.12558014386323468
630231,0.1269152153443803
630232,0.052632195175417756
630233,0.9790914975797036
630234,0.017038401388773106
630235,0.8586972896496724
630236,0.9982111090805965
630237,0.22247007568629115
630238,0.8457812182244024
630239,0.016128070248744242
630240,0.8135653176652766
630241,0.0035608727296693454
630242,0.11823369802190822
630243,0.6766647356846764
630244,0.08509035609123883
630245,0.9948275677283851
630246,0.01477260093180513
