datetime,count
2011-01-20 00:00:00,10.83
2011-01-20 01:00:00,5.04
2011-01-20 02:00:00,3.67
2011-01-20 03:00:00,3.5
2011-01-20 04:00:00,2.6
2011-01-20 05:00:00,6.35
2011-01-20 06:00:00,35.02
2011-01-20 07:00:00,97.13
2011-01-20 08:00:00,207.58
2011-01-20 09:00:00,121.96
2011-01-20 10:00:00,62.49
2011-01-20 11:00:00,63.56
2011-01-20 12:00:00,77.88
2011-01-20 13:00:00,74.91
2011-01-20 14:00:00,76.99
2011-01-20 15:00:00,81.04
2011-01-20 16:00:00,87.78
2011-01-20 17:00:00,190.62
2011-01-20 18:00:00,176.01
2011-01-20 19:00:00,102.85
2011-01-20 20:00:00,73.91
2011-01-20 21:00:00,49.32
2011-01-20 22:00:00,45.25
2011-01-20 23:00:00,26.05
2011-01-21 00:00:00,12.59
2011-01-21 01:00:00,7.11
2011-01-21 02:00:00,4.46
2011-01-21 03:00:00,2.41
2011-01-21 04:00:00,2.44
2011-01-21 05:00:00,3.58
2011-01-21 06:00:00,32.07
2011-01-21 07:00:00,98.65
2011-01-21 08:00:00,194.56
2011-01-21 09:00:00,120.67
2011-01-21 10:00:00,47.84
2011-01-21 11:00:00,57.16
2011-01-21 12:00:00,71.03
2011-01-21 13:00:00,71.14
2011-01-21 14:00:00,66.33
2011-01-21 15:00:00,65.0
2011-01-21 16:00:00,76.12
2011-01-21 17:00:00,136.71
2011-01-21 18:00:00,137.97
2011-01-21 19:00:00,112.69
2011-01-21 20:00:00,62.16
2011-01-21 21:00:00,45.06
2011-01-21 22:00:00,32.33
2011-01-21 23:00:00,20.71
2011-01-22 00:00:00,26.52
2011-01-22 01:00:00,20.12
2011-01-22 02:00:00,17.32
2011-01-22 03:00:00,6.48
2011-01-22 04:00:00,2.34
2011-01-22 06:00:00,5.51
2011-01-22 07:00:00,21.02
2011-01-22 08:00:00,37.18
2011-01-22 09:00:00,36.61
2011-01-22 10:00:00,56.81
2011-01-22 11:00:00,63.08
2011-01-22 12:00:00,73.15
2011-01-22 13:00:00,85.19
2011-01-22 14:00:00,75.38
2011-01-22 15:00:00,82.25
2011-01-22 16:00:00,74.33
2011-01-22 17:00:00,98.04
2011-01-22 18:00:00,64.98
2011-01-22 19:00:00,41.81
2011-01-22 20:00:00,37.53
2011-01-22 21:00:00,37.22
2011-01-22 22:00:00,32.53
2011-01-22 23:00:00,18.31
2011-01-23 00:00:00,29.26
2011-01-23 01:00:00,20.51
2011-01-23 02:00:00,17.06
2011-01-23 03:00:00,12.02
2011-01-23 05:00:00,2.72
2011-01-23 06:00:00,3.09
2011-01-23 07:00:00,11.3
2011-01-23 08:00:00,20.85
2011-01-23 09:00:00,28.76
2011-01-23 10:00:00,54.39
2011-01-23 11:00:00,64.91
2011-01-23 12:00:00,71.18
2011-01-23 13:00:00,67.86
2011-01-23 14:00:00,73.99
2011-01-23 15:00:00,74.2
2011-01-23 16:00:00,79.03
2011-01-23 17:00:00,86.88
2011-01-23 18:00:00,79.57
2011-01-23 19:00:00,56.91
2011-01-23 20:00:00,31.78
2011-01-23 21:00:00,28.59
2011-01-23 22:00:00,24.84
2011-01-23 23:00:00,15.61
2011-01-24 00:00:00,11.6
2011-01-24 01:00:00,4.48
2011-01-24 03:00:00,2.59
2011-01-24 04:00:00,2.69
2011-01-24 05:00:00,6.57
2011-01-24 06:00:00,33.08
2011-01-24 07:00:00,83.06
2011-01-24 08:00:00,165.14
2011-01-24 09:00:00,104.73
2011-01-24 10:00:00,48.53
2011-01-24 11:00:00,38.02
2011-01-24 12:00:00,52.18
2011-01-24 13:00:00,49.05
2011-01-24 14:00:00,44.83
2011-01-24 15:00:00,56.64
2011-01-24 16:00:00,63.54
2011-01-24 17:00:00,139.03
2011-01-24 18:00:00,138.89
2011-01-24 19:00:00,96.14
2011-01-24 20:00:00,62.95
2011-01-24 21:00:00,42.26
2011-01-24 22:00:00,27.53
2011-01-24 23:00:00,18.9
2011-01-25 00:00:00,8.79
2011-01-25 01:00:00,3.42
2011-01-25 02:00:00,2.47
2011-01-25 04:00:00,1.77
2011-01-25 05:00:00,5.79
2011-01-25 06:00:00,32.57
2011-01-25 07:00:00,79.18
2011-01-25 08:00:00,159.12
2011-01-25 09:00:00,112.05
2011-01-25 10:00:00,56.99
2011-01-25 11:00:00,59.86
2011-01-25 12:00:00,73.13
2011-01-25 13:00:00,75.26
2011-01-25 14:00:00,70.62
2011-01-25 15:00:00,69.61
2011-01-25 16:00:00,86.78
2011-01-25 17:00:00,202.23
2011-01-25 18:00:00,187.56
2011-01-25 19:00:00,110.0
2011-01-25 20:00:00,72.27
2011-01-25 21:00:00,49.73
2011-01-25 22:00:00,40.15
2011-01-25 23:00:00,19.79
2011-01-26 00:00:00,7.9
2011-01-26 01:00:00,5.51
2011-01-26 02:00:00,2.96
2011-01-26 05:00:00,3.04
2011-01-26 06:00:00,30.26
2011-01-26 07:00:00,68.23
2011-01-26 08:00:00,133.9
2011-01-26 09:00:00,98.12
2011-01-26 10:00:00,70.04
2011-01-26 11:00:00,68.94
2011-01-26 12:00:00,67.18
2011-01-26 13:00:00,66.03
2011-01-26 14:00:00,64.29
2011-01-26 15:00:00,66.19
2011-01-26 16:00:00,75.29
2011-01-26 17:00:00,118.1
2011-01-27 16:00:00,74.55
2011-01-27 17:00:00,161.5
2011-01-27 18:00:00,136.67
2011-01-27 19:00:00,101.31
2011-01-27 20:00:00,72.35
2011-01-27 21:00:00,50.44
2011-01-27 22:00:00,40.28
2011-01-27 23:00:00,22.68
2011-01-28 00:00:00,13.06
2011-01-28 01:00:00,7.28
2011-01-28 02:00:00,2.83
2011-01-28 03:00:00,1.94
2011-01-28 05:00:00,5.46
2011-01-28 06:00:00,30.47
2011-01-28 07:00:00,79.49
2011-01-28 08:00:00,163.64
2011-01-28 09:00:00,90.21
2011-01-28 10:00:00,48.14
2011-01-28 11:00:00,57.76
2011-01-28 12:00:00,60.15
2011-01-28 13:00:00,59.7
2011-01-28 14:00:00,53.57
2011-01-28 15:00:00,53.98
2011-01-28 16:00:00,63.47
2011-01-28 17:00:00,151.7
2011-01-28 18:00:00,149.01
2011-01-28 19:00:00,102.75
2011-01-28 20:00:00,73.69
2011-01-28 21:00:00,47.73
2011-01-28 22:00:00,43.15
2011-01-28 23:00:00,26.49
2011-01-29 00:00:00,29.49
2011-01-29 01:00:00,19.59
2011-01-29 02:00:00,15.95
2011-01-29 03:00:00,12.24
2011-01-29 04:00:00,3.16
2011-01-29 06:00:00,3.79
2011-01-29 07:00:00,14.77
2011-01-29 08:00:00,31.55
2011-01-29 09:00:00,46.93
2011-01-29 10:00:00,62.66
2011-01-29 11:00:00,67.93
2011-01-29 12:00:00,71.06
2011-01-29 13:00:00,80.62
2011-01-29 14:00:00,76.36
2011-01-29 15:00:00,74.09
2011-01-29 16:00:00,81.18
2011-01-29 17:00:00,83.03
2011-01-29 18:00:00,72.59
2011-01-29 19:00:00,59.04
2011-01-29 20:00:00,39.67
2011-01-29 21:00:00,36.48
2011-01-29 22:00:00,36.08
2011-01-29 23:00:00,24.92
2011-01-30 00:00:00,31.22
2011-01-30 01:00:00,24.89
2011-01-30 02:00:00,20.8
2011-01-30 03:00:00,12.03
2011-01-30 04:00:00,4.61
2011-01-30 05:00:00,4.73
2011-01-30 07:00:00,8.44
2011-01-30 08:00:00,15.0
2011-01-30 09:00:00,23.32
2011-01-30 10:00:00,59.54
2011-01-30 11:00:00,70.03
2011-01-30 12:00:00,115.99
2011-01-30 13:00:00,93.8
2011-01-30 14:00:00,96.65
2011-01-30 15:00:00,118.6
2011-01-30 16:00:00,114.13
2011-01-30 17:00:00,76.22
2011-01-30 18:00:00,65.74
2011-01-30 19:00:00,45.04
2011-01-30 20:00:00,34.66
2011-01-30 21:00:00,30.3
2011-01-30 22:00:00,28.4
2011-01-30 23:00:00,23.7
2011-01-31 00:00:00,10.76
2011-01-31 01:00:00,4.18
2011-01-31 02:00:00,2.69
2011-01-31 03:00:00,2.31
2011-01-31 04:00:00,1.95
2011-01-31 05:00:00,2.43
2011-01-31 06:00:00,33.22
2011-01-31 07:00:00,80.43
2011-01-31 08:00:00,160.55
2011-01-31 09:00:00,95.07
2011-01-31 10:00:00,41.36
2011-01-31 11:00:00,40.53
2011-01-31 12:00:00,62.2
2011-01-31 13:00:00,60.59
2011-01-31 14:00:00,53.48
2011-01-31 15:00:00,49.76
2011-01-31 16:00:00,62.21
2011-01-31 17:00:00,140.61
2011-01-31 18:00:00,139.48
2011-01-31 19:00:00,123.39
2011-01-31 20:00:00,61.91
2011-01-31 21:00:00,36.56
2011-01-31 22:00:00,32.53
2011-01-31 23:00:00,17.69
2011-02-20 00:00:00,38.15
2011-02-20 01:00:00,27.18
2011-02-20 02:00:00,22.22
2011-02-20 03:00:00,8.2
2011-02-20 04:00:00,2.94
2011-02-20 06:00:00,5.4
2011-02-20 07:00:00,14.43
2011-02-20 08:00:00,32.14
2011-02-20 09:00:00,49.73
2011-02-20 10:00:00,94.24
2011-02-20 11:00:00,116.48
2011-02-20 12:00:00,142.19
2011-02-20 13:00:00,166.61
2011-02-20 14:00:00,152.92
2011-02-20 15:00:00,164.43
2011-02-20 16:00:00,156.76
2011-02-20 17:00:00,128.01
2011-02-20 18:00:00,96.48
2011-02-20 19:00:00,69.31
2011-02-20 20:00:00,58.82
2011-02-20 21:00:00,45.32
2011-02-20 22:00:00,37.84
