datetime,count
2011-01-20 00:00:00,10.88
2011-01-20 01:00:00,5.25
2011-01-20 02:00:00,3.24
2011-01-20 03:00:00,3.14
2011-01-20 04:00:00,2.73
2011-01-20 05:00:00,6.45
2011-01-20 06:00:00,35.03
2011-01-20 07:00:00,95.16
2011-01-20 08:00:00,206.54
2011-01-20 09:00:00,121.58
2011-01-20 10:00:00,63.96
2011-01-20 11:00:00,66.86
2011-01-20 12:00:00,80.1
2011-01-20 13:00:00,76.35
2011-01-20 14:00:00,78.08
2011-01-20 15:00:00,79.13
2011-01-20 16:00:00,87.34
2011-01-20 17:00:00,192.87
2011-01-20 18:00:00,174.41
2011-01-20 19:00:00,104.05
2011-01-20 20:00:00,75.45
2011-01-20 21:00:00,49.69
2011-01-20 22:00:00,44.9
2011-01-20 23:00:00,25.34
2011-01-21 00:00:00,12.36
2011-01-21 01:00:00,7.12
2011-01-21 02:00:00,3.88
2011-01-21 03:00:00,2.38
2011-01-21 04:00:00,2.77
2011-01-21 05:00:00,3.69
2011-01-21 06:00:00,31.27
2011-01-21 07:00:00,96.81
2011-01-21 08:00:00,195.64
2011-01-21 09:00:00,121.03
2011-01-21 10:00:00,48.14
2011-01-21 11:00:00,56.39
2011-01-21 12:00:00,71.08
2011-01-21 13:00:00,70.27
2011-01-21 14:00:00,65.54
2011-01-21 15:00:00,64.48
2011-01-21 16:00:00,73.98
2011-01-21 17:00:00,138.88
2011-01-21 18:00:00,138.32
2011-01-21 19:00:00,111.43
2011-01-21 20:00:00,61.93
2011-01-21 21:00:00,45.34
2011-01-21 22:00:00,32.92
2011-01-21 23:00:00,20.82
2011-01-22 00:00:00,27.47
2011-01-22 01:00:00,19.4
2011-01-22 02:00:00,17.6
2011-01-22 03:00:00,6.56
2011-01-22 04:00:00,2.19
2011-01-22 06:00:00,5.4
2011-01-22 07:00:00,21.76
2011-01-22 08:00:00,36.56
2011-01-22 09:00:00,35.64
2011-01-22 10:00:00,59.44
2011-01-22 11:00:00,64.62
2011-01-22 12:00:00,76.36
2011-01-22 13:00:00,80.99
2011-01-22 14:00:00,77.45
2011-01-22 15:00:00,74.92
2011-01-22 16:00:00,75.26
2011-01-22 17:00:00,90.7
2011-01-22 18:00:00,64.68
2011-01-22 19:00:00,41.93
2011-01-22 20:00:00,37.52
2011-01-22 21:00:00,38.61
2011-01-22 22:00:00,31.6
2011-01-22 23:00:00,19.73
2011-01-23 00:00:00,29.76
2011-01-23 01:00:00,20.94
2011-01-23 02:00:00,16.42
2011-01-23 03:00:00,12.35
2011-01-23 05:00:00,2.7
2011-01-23 06:00:00,4.06
2011-01-23 07:00:00,11.67
2011-01-23 08:00:00,20.9
2011-01-23 09:00:00,28.05
2011-01-23 10:00:00,55.24
2011-01-23 11:00:00,64.01
2011-01-23 12:00:00,71.49
2011-01-23 13:00:00,69.82
2011-01-23 14:00:00,73.82
2011-01-23 15:00:00,73.2
2011-01-23 16:00:00,76.9
2011-01-23 17:00:00,86.25
2011-01-23 18:00:00,79.64
2011-01-23 19:00:00,55.58
2011-01-23 20:00:00,31.3
2011-01-23 21:00:00,28.71
2011-01-23 22:00:00,24.99
2011-01-23 23:00:00,15.48
2011-01-24 00:00:00,11.71
2011-01-24 01:00:00,4.89
2011-01-24 03:00:00,2.5
2011-01-24 04:00:00,2.69
2011-01-24 05:00:00,6.84
